strike,bid,ask,lastPrice,impliedVolatility,midPrice
200.0,5632.3,5650.7,5812.96,1.0000000000000003e-05,5641.5
400.0,5527.1,5559.1,5641.73,5.636538598861694,5543.1
600.0,5432.3,5464.2,5220.8,5.968508398742676,5448.25
800.0,5039.1,5055.0,5082.61,1.0000000000000003e-05,5047.05
1000.0,4840.9,4858.0,4747.54,1.0000000000000003e-05,4849.45
1200.0,4732.0,4764.0,4839.3,3.178651955718994,4748.0
1400.0,4533.3,4565.2,4586.58,2.883303572998047,4549.25
1600.0,4449.5,4481.4,4252.91,3.319909842319488,4465.45
1800.0,4253.0,4285.0,4058.23,3.0526757081604003,4269.0
2000.0,4008.9,4032.9,4019.09,2.58382769815445,4020.9
2200.0,3741.2,3925.5,3729.1,2.4329567984771723,3833.35
2900.0,2677.4,2694.7,2355.0,1.0000000000000003e-05,2686.05
3000.0,3018.0,3040.8,3030.29,1.7536824144554137,3029.4
3150.0,2869.7,2884.0,2790.4,1.6426180588912964,2876.85
3200.0,0.0,0.0,2123.94,1.0000000000000003e-05,0.0
3300.0,2781.6,2813.7,2600.12,1.7457059223556517,2797.6499999999996
3350.0,2732.7,2764.8,2551.54,1.7139220236587522,2748.75
3400.0,2683.8,2715.9,2503.03,1.682553924884796,2699.8500000000004
3450.0,2405.0,2422.3,2666.6,0.6763948376464846,2413.65
3500.0,2356.7,2374.2,2552.39,0.6919586468505861,2365.45
3600.0,2257.8,2275.0,2292.5,0.6719393157958986,2266.4
3700.0,2418.3,2446.8,2173.98,1.5631316094017027,2432.55
3725.0,2300.2,2321.8,2242.33,1.3131214153671262,2311.0
3800.0,2054.8,2071.2,2241.81,0.5522200540161133,2063.0
3900.0,0.0,0.0,1476.06,1.0000000000000003e-05,0.0
4000.0,1859.0,1873.1,1961.65,0.5376327975463868,1866.05
4025.0,1838.5,1850.6,2013.98,0.5664868791198729,1844.55
4050.0,1980.4,1997.2,1920.95,1.1389126916885377,1988.8000000000002
4100.0,2000.2,2032.8,1827.66,1.2814862891197203,2016.5
4150.0,1883.1,1897.2,1995.72,1.08852842212677,1890.15
4200.0,1668.9,1681.2,1895.13,0.551686001739502,1675.0500000000002
4225.0,1810.9,1825.9,1744.0,1.056168507022858,1818.4
4300.0,1566.3,1578.6,1758.0,0.5014240531921388,1572.4499999999998
4325.0,1545.4,1553.8,1717.23,0.5077106114196777,1549.6
4400.0,0.0,0.0,1423.3,1.0000000000000003e-05,0.0
